index,page,ID,title,kind,url,metascore,critic_count,critic_count_positive,critic_count_mixed,critic_count_negative,userscore,user_count,user_count_positive,user_count_mixed,user_count_negative,developer,publisher,record_label,platform,release_date,rating,esrb,esrb_reason,runtime,genre,cast,show_type,summary
84,34,tv_hot-properties,Hot Properties,tv show,http://www.metacritic.com/tv/hot-properties,31,22,4,4,14,8.1,33,20,0,6,NA,ABC,NA,NA,"Oct  7, 2005",NA,NA,NA,30,"[u'Comedy', u'Drama']",NA,Ended,"Hot Properties centers around four women who work for Hot Properties, a high-end Manhattan real estate firm.  Ava Summerlin, the oldest of the women, runs the firm.  She's married to a much-younger..."
85,34,tv_skins,Skins,tv show,http://www.metacritic.com/tv/skins,66,7,4,3,0,8.7,78,30,0,4,"Jamie Brittain, Bryan Elsley",E4,NA,NA,"Jan 25, 2007",NA,NA,NA,60,"[u'Comedy', u'Drama']",NA,On Hiatus / TBD,"Skins is a British teen drama aimed at young adults which is at the forefront of Channel 4's quest to bring more British programming to Britain.
Fast-paced and full of angst-ridden fun, this..."
86,35,tv_labor-pains,Labor Pains,tv show,http://www.metacritic.com/tv/labor-pains,55,7,1,6,0,5.9,7,2,1,1,NA,ABC Family,NA,NA,"Jul 19, 2009",NA,NA,NA,90,"[u'Comedy', u'Movie/Mini-Series']",NA,TV Movie,Lindsay Lohan stars in this ABC Family original movie about a publishing company employee who pretends to be pregnant so that she can't be fired.
87,35,tv_hustle,Hustle,tv show,http://www.metacritic.com/tv/hustle,71,13,11,2,0,9.3,38,24,0,0,NA,BBC-1,NA,NA,"Feb 24, 2004",NA,NA,NA,60,"[u'Comedy', u'Drama']",NA,Ended,"From the makers of Spooks and acclaimed writer Tony Jordan comes this slick and stylish drama. An action-packed blend of humour and intrigue, following the fortunes of a gang of expert cons on the..."
88,35,tv_men-of-a-certain-age,Men of a Certain Age,tv show,http://www.metacritic.com/tv/men-of-a-certain-age,79,24,22,2,0,8.8,119,45,2,6,NA,TNT,NA,NA,"Dec  7, 2009",NA,NA,NA,60,"[u'Comedy', u'Drama']",NA,Ended,"There are highs and lows to every age, but three best friends know what it's like to be Men of a Certain Age. Ray Romano stars in an honest, emotional and funny drama about what it is like to be a..."
89,35,tv_in-case-of-emergency,In Case of Emergency,tv show,http://www.metacritic.com/tv/in-case-of-emergency,27,23,0,5,18,6.9,18,11,1,4,"Jon Favreau, Howard J. Morris",ABC,NA,NA,"Jan  3, 2007",NA,NA,NA,30,Comedy,NA,Ended,"Harry, Jason, Sherman and Kelly all went to the same high school. Several years on since graduation, their lives haven't exactly turned out the way they planned. A series of emergencies will..."
90,36,tv_big-shots,Big Shots,tv show,http://www.metacritic.com/tv/big-shots,33,22,2,7,13,8.2,90,45,0,7,NA,ABC,NA,NA,"Sep 27, 2007",NA,NA,NA,60,"[u'Comedy', u'Drama']",NA,Ended,"Big Shots is a drama from Warner Brothers Television and ABC about four friends who are up and coming executives.James is played by Michael Vartan and is the ""moral center"" of the group. He's..."
91,36,tv_city-of-men,City of Men,tv show,http://www.metacritic.com/tv/city-of-men,87,7,7,0,0,9.2,14,12,0,0,NA,Sundance,NA,NA,"Apr  4, 2006",NA,NA,NA,30,"[u'Comedy', u'Drama']",NA,Ended,"From the creators of the Academy Award-nominated City of God, comes the spin-off series City of Men.  The series follows the lives of Acerola (Douglas Silva) and Laranjinha (Darlan Cunha) as they..."
92,36,tv_teachers,Teachers,tv show,http://www.metacritic.com/tv/teachers,34,16,0,6,10,6.5,63,31,2,15,NA,NBC,NA,NA,"Mar 28, 2006",NA,NA,NA,30,Comedy,NA,Ended,"Filmore is a New Jersey school that has its share of problems, including apathetic teachers, antiquated rules and a majority of students who are more interested in text-messaging than in textbooks."
93,36,tv_womens-murder-club,Women's Murder Club,tv show,http://www.metacritic.com/tv/womens-murder-club,51,23,10,7,6,7.8,17,8,1,1,NA,ABC,NA,NA,"Oct 12, 2007",NA,NA,NA,60,"[u'Comedy', u'Drama']",NA,Ended,"Based on the best-selling series of books by James Patterson, Women's Murder Club tells the story of four friends from different walks of life who come together to form a unique murder..."
